Flight No.,Launch site,Payload,Payload mass,Orbit,Customer,Launch outcome,Version Booster,Booster landing,Date,Time
29,"VAFB,SLC-4E",Iridium NEXT-1(10 satellites)[152][153],,Polar LEO,NASA,Success,F9 FT[,Success,14 January 2017,17:54
30,"KSC,LC-39A",SpaceX CRS-10[141](Dragon C112.1),,LEO (ISS),EchoStar,Success,F9 FT[,No attempt,19 February 2017,14:39
31,"KSC,LC-39A",EchoStar 23,,GTO,SES,Success[170],F9 FT[,Success,16 March 2017,06:00
32,"KSC,LC-39A",SES-10[109][168],,GTO,NRO,Success,F9 FT♺[,Success,30 March 2017,22:27
33,"KSC,LC-39A",NROL-76[174],,LEO[175],Inmarsat,Success,F9 FT[,No attempt,1 May 2017,11:15
34,"KSC,LC-39A",Inmarsat-5 F4[180],,GTO,NASA,Success,F9 FT[,Success,15 May 2017,23:21
35,"KSC,LC-39A",SpaceX CRS-11[141](Dragon C106.2 ♺),,LEO (ISS),Bulsatcom,Success,F9 FT[,Success,3 June 2017,21:07
36,"KSC,LC-39A",BulgariaSat-1[196],,GTO,Iridium Communications,Success,F9 FTB1029.2195,Success,23 June 2017,19:10
37,"VAFB,SLC-4E",Iridium NEXT-2(10 satellites),,LEO,Intelsat,Success,F9 FT[,No attempt,25 June 2017,20:25
38,"KSC,LC-39A",Intelsat 35e[201],,GTO,NASA,Success,F9 FT[,Success,5 July 2017,23:38
39,"KSC,LC-39A",SpaceX CRS-12[141](Dragon C113.1),,LEO (ISS),NSPO,Success,F9 B4[,Success,14 August 2017,16:31
40,"VAFB,SLC-4E",Formosat-5[210][211],,SSO,USAF,Success,F9 FT[,Success,24 August 2017,18:51
41,"KSC,LC-39A",Boeing X-37B OTV-5,,LEO,Iridium Communications,Success,F9 B4[,Success,7 September 2017,14:00
42,"VAFB,SLC-4E",Iridium NEXT-3(10 satellites)[152],,Polar LEO,SES S.A.,Success,F9 B4[,Success,9 October 2017,12:37
43,"KSC,LC-39A",SES-11 / EchoStar 105,,GTO,KT Corporation,Success,F9 FTB1031.2220,Success,11 October 2017,22:53:00
44,"KSC,LC-39A",Koreasat 5A[222],,GTO,NASA,Success,F9 B4[,Success,30 October 2017,19:34
45,"Cape Canaveral,SLC-40",SpaceX CRS-13[141](Dragon C108.2 ♺),,LEO (ISS),Iridium Communications,Success[230],F9 FTB1035.2227,Controlled,15 December 2017,15:36
46,"VAFB,SLC-4E",Iridium NEXT-4(10 satellites)[152],,Polar LEO,Northrop Grumman,Success[241],F9 FTB1036.2227,Success,23 December 2017,01:27
47,"CCAFS,SLC-40",Zuma[238][239][240],,LEO,SES,Success[248],F9 B4[,Controlled,8 January 2018,01:00
48,"CCAFS,SLC-40",GovSat-1 (SES-16)[246],,GTO,Hisdesat,Success[271],F9 FTB1032.2245,No attempt,31 January 2018,21:25
49,"VAFB,SLC-4E","Paz[269]
Tintin A and Tintin B[270]",,SSO,Hispasat,Success[280],F9 FTB1038.2268,No attempt,22 February 2018,14:17
50,"CCAFS,SLC-40","Hispasat 30W-6[277]
PODSat[278]",,GTO,Iridium Communications,Success[286],F9 B4[,No attempt,6 March 2018,05:33
51,"VAFB,SLC-4E",Iridium NEXT-5(10 satellites)[152],,Polar LEO,NASA,Success[293],F9 B4B1041.2268,No attempt,30 March 2018,14:14
52,"CCAFS,SLC-40",SpaceX CRS-14[141](Dragon C110.2 ♺),,LEO (ISS),NASA,Success[306],F9 B4B1039.2292,Success,2 April 2018,20:30
53,"CCAFS,SLC-40",Transiting Exoplanet Survey Satellite (TESS)[304],,HEO for P/2 orbit,Thales-Alenia,Success[315],F9 B4[,Success,18 April 2018,22:51
54,"KSC,LC-39A",Bangabandhu-1[312][313],,GTO,Iridium Communications,Success[327],F9 B5311B1046.1268,No attempt,11 May 2018,20:14
55,"VAFB,SLC-4E","Iridium NEXT-6(5 satellites)[152][155]
GRACE-FO × 2[323][324]",,Polar LEO,SES,Success[333],F9 B4B1043.2322,No attempt,22 May 2018,19:47
56,"CCAFS,SLC-40",SES-12[331],,GTO,NASA,Success[338],F9 B4B1040.2268,No attempt,4 June 2018,04:45
57,"CCAFS,SLC-40",SpaceX CRS-15(Dragon C111.2 ♺),,LEO (ISS),Telesat,Success[344],F9 B4B1045.2336,Success,29 June 2018,09:42
58,"CCAFS,SLC-40",Telstar 19V[341],,GTO[343],Iridium Communications,Success[351],F9 B5,Success,22 July 2018,05:50
